Experiment Name:,060326 Emily yeast plate GFP

Tube Name:,Sample ID:,Volume(μL):,All Events ,Cells Events,Singles Events,GFP+ Events,GFP+ Histogram Events,GFP Neg Histo Events,GFP+ vs red Events,All Events  % Total,Cells % Total,Singles % Total,GFP+ % Total,GFP+ Histogram % Total,GFP Neg Histo % Total,GFP+ vs red % Total,All Events  % Parent,Cells % Parent,Singles % Parent,GFP+ % Parent,GFP+ Histogram % Parent,GFP Neg Histo % Parent,GFP+ vs red % Parent,All Events  Events/μL(V),Cells Events/μL(V),Singles Events/μL(V),GFP+ Events/μL(V),GFP+ Histogram Events/μL(V),GFP Neg Histo Events/μL(V),GFP+ vs red Events/μL(V),All Events  Median FITC-A,Cells Median FITC-A,Singles Median FITC-A,GFP+ Median FITC-A,GFP+ Histogram Median FITC-A,GFP Neg Histo Median FITC-A,GFP+ vs red Median FITC-A,All Events  GeoMean FITC-A,Cells GeoMean FITC-A,Singles GeoMean FITC-A,GFP+ GeoMean FITC-A,GFP+ Histogram GeoMean FITC-A,GFP Neg Histo GeoMean FITC-A,GFP+ vs red GeoMean FITC-A
19-Well-A1,,1.0,11214,11043,10000,2235,970,8142,2498,100.00 %,98.48 %,89.17 %,19.93 %,8.65 %,72.61 %,22.28 %,100.00 %,98.48 %,90.56 %,22.35 %,9.70 %,81.42 %,24.98 %,11194.08,11023.38,9982.23,2231.03,968.28,8127.53,2493.56,3471.1,3415.3,2989.1,17099.7,28992.3,2837.9,14580.9,3228.8,3172.1,2822.7,19214.3,32880.7,2268.4,16366.2
19-Well-A2,,0.9,10633,10483,10000,2102,799,8842,2438,100.00 %,98.59 %,94.05 %,19.77 %,7.51 %,83.16 %,22.93 %,100.00 %,98.59 %,95.39 %,21.02 %,7.99 %,88.42 %,24.38 %,11652.86,11488.47,10959.14,2303.61,875.64,9690.08,2671.84,3293.5,3280.0,3086.7,15759.1,28589.8,2716.0,13770.5,3018.1,2988.6,2814.8,18021.2,32219.9,2272.3,15395.6
19-Well-A3,,1.2,10789,10535,10000,2312,925,8705,2622,100.00 %,97.65 %,92.69 %,21.43 %,8.57 %,80.68 %,24.30 %,100.00 %,97.65 %,94.92 %,23.12 %,9.25 %,87.05 %,26.22 %,9159.05,8943.43,8489.25,1962.72,785.26,7389.89,2225.88,3429.7,3408.7,3192.8,16312.4,28722.5,2705.5,14301.7,3148.4,3126.3,2941.4,18461.4,32675.6,2297.7,15936.7
19-Well-A4,,1.0,10662,10479,10000,2296,937,8782,2686,100.00 %,98.28 %,93.79 %,21.53 %,8.79 %,82.37 %,25.19 %,100.00 %,98.28 %,95.43 %,22.96 %,9.37 %,87.82 %,26.86 %,10959.55,10771.44,10279.08,2360.08,963.15,9027.09,2760.96,3630.1,3595.0,3366.4,16221.3,29369.9,2876.9,14186.8,3342.0,3292.3,3095.1,18795.3,33722.6,2409.5,16058.9
19-Well-A5,,1.0,10721,10525,10000,2150,897,8743,2490,100.00 %,98.17 %,93.27 %,20.05 %,8.37 %,81.55 %,23.23 %,100.00 %,98.17 %,95.01 %,21.50 %,8.97 %,87.43 %,24.90 %,10653.24,10458.48,9936.80,2136.41,891.33,8687.74,2474.26,3223.8,3210.9,2973.3,16443.2,29632.6,2584.9,14213.6,3010.9,2982.8,2799.2,19031.5,34399.1,2198.2,16187.3
19-Well-A6,,0.7,10659,10568,10000,7,3,9144,5,100.00 %,99.15 %,93.82 %,0.07 %,0.03 %,85.79 %,0.05 %,100.00 %,99.15 %,94.63 %,0.07 %,0.03 %,91.44 %,0.05 %,14393.55,14270.67,13503.66,9.45,4.05,12347.75,6.75,470.1,470.1,450.2,18613.4,51171.9,487.0,20436.1,417.0,414.7,391.1,21560.9,43885.3,435.8,27911.2
19-Well-A7,,0.6,10733,10617,10000,0,0,9019,0,100.00 %,98.92 %,93.17 %,0.00 %,0.00 %,84.03 %,0.00 %,100.00 %,98.92 %,94.19 %,0.00 %,0.00 %,90.19 %,0.00 %,18184.75,17988.21,16942.84,0.00,0.00,15280.75,0.00,431.6,432.6,410.8,####,####,457.7,####,375.2,375.4,352.1,####,####,401.5,####
19-Well-A8,,0.9,10551,10456,10000,3,1,9194,1,100.00 %,99.10 %,94.78 %,0.03 %,0.01 %,87.14 %,0.01 %,100.00 %,99.10 %,95.64 %,0.03 %,0.01 %,91.94 %,0.01 %,12203.90,12094.01,11566.58,3.47,1.16,10634.31,1.16,455.0,455.7,440.8,13692.6,30449.9,477.5,30449.9,399.1,399.2,383.2,17548.5,30449.9,425.1,30449.9
19-Well-A9,,13.6,11912,10226,10000,9,2,9354,9,100.00 %,85.85 %,83.95 %,0.08 %,0.02 %,78.53 %,0.08 %,100.00 %,85.85 %,97.79 %,0.09 %,0.02 %,93.54 %,0.09 %,877.61,753.39,736.74,0.66,0.15,689.15,0.66,421.3,489.6,481.2,15999.6,20524.4,511.2,12710.5,356.0,435.0,424.0,15023.9,20482.0,459.1,13311.7
19-Well-A10,,0.7,10752,10654,10000,2,0,8980,1,100.00 %,99.09 %,93.01 %,0.02 %,0.00 %,83.52 %,0.01 %,100.00 %,99.09 %,93.86 %,0.02 %,0.00 %,89.80 %,0.01 %,16410.51,16260.94,15262.75,3.05,0.00,13705.95,1.53,431.1,430.8,408.8,11238.7,####,453.9,11615.5,372.9,370.6,346.1,11232.3,####,397.1,11615.5
